	id	week	value
320	KPI12	8	0.9959879122985192
321	KPI13	8	0.9697254170868946
322	KPI15	8	0.2
323	KPI16	8	0.65
324	KPI17	8	3692.0
325	KPI18	8	17771.0
326	KPI19	8	0.5
327	KPI20	8	0.92
328	KPI21	8	0.883343913184762
329	KPI22	8	0.8333333333333334
330	KPI25	8	4628.0
331	KPI26	8	186.0
332	KPI27	8	1.0
333	KPI28	8	0.9768179429303991
334	KPI29	8	96.0
335	KPI30	8	289.0
336	KPI31	8	6034.0
337	KPI32	8	0.9323238566131026
338	KPI33	8	0.7265625
339	KPI34	8	0.0
340	KPI35	8	334.0
341	KPI36	8	207.0
342	KPI37	8	0.9655172413793104
343	KPI38	8	0.2519280205655527
344	KPI39	8	0.9788961038961039
345	KPI40	8	1.0
346	KPI41	8	1.0
347	KPI42	8	1.0
348	KPI43	8	0.18867138692211582
349	KPI44	8	41.0
350	KPI45	8	0.9699514880357081
351	KPI46	8	294.0
352	KPI01	9	0.9574468085106383
353	KPI02	9	0.8787878787878788
354	KPI03	9	0.9649122807017544
355	KPI47	9	0.7647058823529411
356	KPI48	9	11610.0
357	KPI04	9	12841.0
358	KPI05	9	6140.0
359	KPI06	9	0.47
360	KPI08	9	0.0
361	KPI09	9	8191.0
362	KPI10	9	0.82
363	KPI11	9	8.0
364	KPI12	9	0.9968058828172068
365	KPI13	9	0.5462281727827663
366	KPI15	9	0.34210526315789475
367	KPI16	9	0.47
368	KPI17	9	3701.0
369	KPI18	9	22638.0
370	KPI19	9	0.67
371	KPI20	9	0.86
372	KPI21	9	0.7693478517469311
373	KPI22	9	0.20454545454545456
374	KPI25	9	6993.569971999999
375	KPI26	9	407.0
376	KPI27	9	
377	KPI28	9	0.9268564159643823
378	KPI29	9	110.0
379	KPI30	9	792.0
380	KPI31	9	6034.0
381	KPI32	9	0.954412811927092
382	KPI33	9	0.9009375
383	KPI34	9	1.0
384	KPI35	9	285.0
385	KPI36	9	169.0
386	KPI37	9	1.0
387	KPI38	9	0.14656771799628943
388	KPI39	9	0.9910863057414782
389	KPI40	9	1.0
390	KPI41	9	1.0
391	KPI42	9	1.0
392	KPI43	9	1.0
393	KPI44	9	52.0
394	KPI45	9	0.9557595400374864
395	KPI46	9	193.0
396	KPI01	10	0.9848484848484849
397	KPI02	10	1.0
398	KPI03	10	0.9333333333333333
399	KPI47	10	0.875
400	KPI48	10	15767.0
401	KPI04	10	25238.0
402	KPI05	10	11446.0
